store_id,商家名稱,地址,營業電話,營業時間,網址,描述,類別,官方類別_自動,自訂類別,is_active,,,,,,,,,,,,,,id
1,EventPal 活動咖運動報名平台(聯網國際資訊股份有限公司士林所),111 臺北市士林區中正路600號1樓,02-28160188,09:00 ~ 18:00,https://www.eventpal.com.tw/FOAS/actions/ActivityIndex.action?showTabContent&seqno=ae7bc710-94b4-4de9-837d-2d098b90ee04,活動咖 EventPal - 路跑健身馬拉松、運動報名網、擁有全方位防疫賽事、線上訓練報名與線上跑平台。您手中動滋券的最佳去處，快來使用動滋券參加2022西螺太平媽動滋祈步走，除了獲得太平媽祈福金、招財錢母，專屬太平媽祈福禮袋外，現場還有豐富園遊活動及大獎摸彩，不來可惜，快按上面網址來報名!! 動滋券適用品項：戶外運動類_馬拉松/路跑,戶外運動類_馬拉松/路跑,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
2,中華民國健身運動協會,104 臺北市中山區民權東路二段206號6樓之1,225030502,10:00~17:00,https://www.exercise.org.tw/,本會成立於民國91年11月9日至今致力於推廣全民健身運動，以健康、服務、生活為宗旨達成人人運動、時時運動、處處運動的目標。推廣項目以社區健走教室、居家運動影片、職場體能促進與培訓研習認證四大面向，走入社區、居家、職場及學校，拉近運動與生活的距離。推廣內容包括減重、塑身、紓壓與健康等，希望能夠建立民眾正確的運動觀念，培養規律運動的習慣。 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
3,Curves可爾姿北投店,112 臺北市北投區磺港路8號4樓、8-1號4樓,228936585,請見官網上公告之營業時間,https://www.curves.com.tw/,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 02-2893-6585 *請提前主動告知使用""政府優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：運動場館-健身",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
4,好好表現運動工作室,106 臺北市大安區建國南路一段356號2樓,961351666,09:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
5,YOUTH Fitness & Yoga,114 臺北市內湖區瑞光路550號1樓,87733833,7am-11pm,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,位於台北內湖科學園區的時尚尊寵健身瑜珈館， 為連結數位網絡與行動智慧的趨勢健身新指標！ 打造明亮寬敞的環境與五星衛浴空間、 擁有資歷豐富的專業健身教練與老師、 也特別規劃了純粹優質的健康餐飲吧。 少了坊間中小型工作室與俱樂部的狹隘壓迫、 更有效減少市面上連鎖健身中心的擁擠人潮； 提供給內湖科學園區內熱愛運動的上班族們、 以及居住內湖大直一帶的高品味民眾， 一個從裡到外一應俱全的複合式健身瑜珈館！ 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
6,角．攀岩館 華山店 CORNER Bouldering Gym Huashan,104 臺北市中山區新生北路一段86號1樓,225633749,平日：10:00-23:00、假日：09:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,戶外運動類_攀岩,其他,其他,,,,,,,,,,,,,,,
7,Goal Fitness 走！健身,106 臺北市大安區大安路一段85號2樓,287720722,12:00-21:00,https://www.instagram.com/goalfitness_tw/,有溫度， 是我們創辦的初衷。 一直以來都希望能帶給每一位來運動的朋友們， 一個歸屬感。 因此，希望到來這的你/妳們，都能感受到人與人之間的溫度，溫暖且真實。 動滋券適用品項：,,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
8,WellSpace 唯爾運動,105 臺北市松山區南京東路四段137號7樓,227121118,09:30~21:30,http://www.wellspace.com.tw/,唯爾Wellspace品牌理念是「守護」 致力於讓各個年齡層的運動者 能自在地享受運動的美好和樂趣 🔸專攻：器械/墊上彼拉提斯、泰拳、重量訓練 🔸1對1、1對2教練指導課 🔸3-6小班團體課、團體包班 協助運動成為日常生活中的既定慣例 守護讓學員越活越有力、越動越精彩，我們一切努力「well」你 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
9,BTB STUDIO X HERBAR,臺北市大安區大安路一段83巷7號1樓,266050680,10:00-20:00,https://www.instagram.com/btbherbar/,我們致力於推廣運動與營養的結合，將規律運動的好習慣搭配輕食餐點，協助每一個人變得更健康、更快樂。 動滋券適用品項：,,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
10,5+7 十二號空間,116 臺北市文山區指南路二段12號2樓,939973937,詳見課表,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
