商家名稱,地址,營業電話,營業時間,網址,描述,類別
飛健身合作社,112 臺北市北投區永興路一段32巷3弄14號,營業電話：0228988655,營業時間：10:00-22:00,https://flyingstrong.com.tw/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
蜂運動,100 臺北市中正區寧波西街79號,營業電話：0233933227,營業時間：平日 10:00~20:00  週末 10:00~16:00,https://www.beefit.com.tw,在繁忙的生活中，妳想要給平淡的生活帶來一點改變，妳回想起學生時代的夢想：想要騎單車環島、想要出國跑馬拉松，讓人生增添不一樣的色彩。實現夢想需要一個健康強壯的身體，所以，當同事下班去聚餐，妳選擇來健身教室學習「更有效率地運用身體」。改變，無法一蹴可及，需要持之以恆的努力。不過，在蜂運動有簡潔明亮的空間、彈性方便的課程選擇和溫暖專業的服務人員，在妳身邊陪伴妳、協助妳，一步一步穩定持續地朝向夢想而努力。「沒有奇蹟，只有累積」，蜂運動陪妳實現夢想! 動滋券適用品項：,
台北滑雪學校,114 臺北市內湖區臺北市 內湖區 湖元里行愛路７７巷６７號,營業電話：0287917365,營業時間：12:00-22:00,http://www.skitaiwan.com/index.php,「 台北滑雪學校」成立五年以來，看見學員分享出國滑雪的影片，滑的很順利也很穩定，內心就充滿成就與喜悅，滑雪學校幫助喜愛滑雪的大小朋友，在台灣先學好滑雪基礎技巧，出國到了雪場，省下很多摸索的時間，也避免摔得東倒西歪。「台北滑雪學校」榮獲教育部體育署「104年十大創新運動產業」，重資引進培訓奧運選手等級的「滑雪學習機」，陸續成立「 台中滑雪學校」、「 高雄滑雪學校」讓國人輕輕鬆鬆「在台灣學會滑雪！」，有了滑雪技術，出國輕鬆享受真正的滑雪樂趣！滑雪學校教練群，透過專業的教學服務，為大家創造滑雪的幸福！藉此增進親子關係，拉近朋友情誼，為社會來溫馨正向的力量！ 動滋券適用品項：,
中華民國手球協會,104 臺北市中山區朱崙街20號7樓710室,營業電話：0287711437,營業時間：10:30-6:30,https://handball.tw/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
Curves可爾姿捷運中山店,103 臺北市大同區建泰里承德路１段７７-１號２樓,營業電話：0225553149,營業時間：請見官網上公告之營業時間,http://www.curves.com.tw/,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 02-2555-3149 *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：運動保健",
臺北市立復興高級中等學校,112 臺北市北投區復興四路70號,營業電話：28914131,營業時間：0800-1700,https://www.fhsh.tp.edu.tw/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
CrossFit Matrix,110 臺北市信義區松仁路89號B2,營業電話：0287861399,營業時間：9:00-22:00,https://www.instagram.com/crossfit_matrix/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
極限多媒體股份有限公司,110 臺北市信義區基隆路1段143號3樓之3,營業電話：0933126393,營業時間：09:30~18:30,https://instagram.com/ac.5211?igshid=NTc4MTIwNjQ2YQ==,我們曾經為電競高端玩家，熟稔電競產業和web3.0，我們理解雖然短期透過遊戲周邊賺錢，但這並非永續經營，曾經身為學子的我們，透過遊戲賺取財富，然隨著時間成長，我們發現電競現有的體質並不完善，又相較於其他產業電競投入之年齡層較輕，為此我們目標為建構電競產業完善和健全的體質，讓具備天賦的選手和有意願成為電競產業之相關人才有完善的培訓和資源，並獲得家長和政府單位的認可。 曾經發生在我們身上的故事，我們期許透過我們成長的經驗和專業，開闢疆土制定規範，讓和我們曾經一樣的青年，能有更完善和健全的體制往人生的目標和夢想邁進。 動滋券適用品項：,
舞動陽光南湖高中運動中心,114 臺北市內湖區南湖里康寧路３段２２０號,營業電話：0226341717,營業時間：周一至周五>18:00-22:00    周六及周日>08:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,※游泳池 25M室內溫水游泳池。 水深：左右兩側110CM，中間130CM及SPA池，男女烤箱、蒸氣設施。 附有充足淋浴設備，均有專業救生員負責安全。 無障礙出入口（需先B1櫃檯換證件入場） ※健身中心及教室 多項健身團體課程招生，占地400坪，設有健身器材心肺及重訓機台。 「身心障礙者或必要之陪伴者，憑身心障礙手冊正本及陪同，營業時間全時段游泳池及健身中心設施可免費使用。」 ※綜合球場 全場一面籃球場、六面羽球場，及可舉辦各類大型活動舞會、公司趣味活動、運動項目賽事等。 全場木質，品質優良有彈性，3F設有看臺。 一般臨租場地可提前一週來電預訂，並於三天前付款。全時段皆可季租。 動滋券適用品項：,
日榮桌球王淑靜,104 臺北市中山區台北市中山區松江路283號3樓,營業電話：0225189262,營業時間：14:30-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,👉 要有好成績就要靜下來專心唸書，運動可以幫助學習嗎？👈這種迷思是許多人都會有的，但其實已有許多研究指出規律運動可以提升學童的學習成效!,
